CAL_DT,MODEL_NAME,BRAND_FULL_NAME,BRAND_NAME,VENDOR_NAME,OS_NAME,DEVICE_TYPE,_2G_FLG,_3G_FLG,_4G_FLG,WIFI_FLG,BLUETOOTH_FLG,TOUCH_SCREEN_FLG,DUAL_SIM_FLG,GENDER_TYPE_CD,AGE_B,NATIONALITY_CD,NATIONALITY_NAME,SAUDI_NON_SAUDI,DEVICE_COUNT,DEVICE_COUNT_processed,Z_FLAG_COUNT
6/30/2019,z30,mbo z30,mobo,aolixin technology,proprietary,mobile phone,Y,N,N,N,Y,Z,Y,Female,18-25,YEM,Yemen,Non-Saudi,1,1.0,1
6/30/2019,z30,mbo z30,mobo,aolixin technology,proprietary,mobile phone,Y,N,N,N,Y,Z,Y,Female,36-55,SAU,Saudi Arabia,Saudi,1,1.0,1
3/31/2019,z30,mbo z30,mobo,aolixin technology,proprietary,mobile phone,Y,N,N,N,Y,Z,Y,Female,>55,YEM,Yemen,Non-Saudi,1,1.0,1
2/29/2020,z30,mbo z30,mobo,aolixin technology,proprietary,mobile phone,Y,N,N,N,Y,Z,Y,Male,36-55,SAU,Saudi Arabia,Saudi,1,1.0,1
7/31/2020,z30,mbo z30,mobo,aolixin technology,proprietary,mobile phone,Y,N,N,N,Y,Z,Y,Male,36-55,IDN,Indonesia,Non-Saudi,2,2.0,1
9/30/2019,z30,mbo z30,mobo,aolixin technology,proprietary,mobile phone,Y,N,N,N,Y,Z,y,,>55,GBR,United Kingdom,Non-Saudi,1,1.0,1
2/29/2020,z30,mbo z30,mobo,aolixin technology,proprietary,mobile phone,Y,N,N,n,Y,Z,Y,Male,>55,GBR,United Kingdom,Non-Saudi,1,1.0,1
3/31/2020,z30,mbo z30,mobo,aolixin technology,proprietary,mobile phone,y,N,N,N,Y,Z,Y,Male,36-55,IDN,Indonesia,Non-Saudi,2,2.0,1
2/29/2020,x1,by2 x1,by2,by2,proprietary,mobile phone,Y,N,N,Z,Z,Z,Z,Male,,BGD,Bangladesh,Non-Saudi,1,1.0,4
6/30/2019,x1,by2 x1,by2,by2,proprietary,mobile phone,Y,N,N,Z,Z,Z,Z,Male,,BGD,Bangladesh,Non-Saudi,2,2.0,4
9/30/2020,x1,by2 x1,by2,by2,proprietary,mobile phone,Y,N,N,Z,Z,Z,Z,Male,,BGD,Bangladesh,Non-Saudi,1,1.0,4
1/31/2019,x1,by2 x1,by2,by2,proprietary,mobile phone,Y,N,N,Z,Z,Z,Z,Male,,BGD,Bangladesh,Non-Saudi,2,2.0,4
4/30/2020,x1,by2 x1,by2,by2,proprietary,mobile phone,Y,N,N,Z,Z,Z,Z,Male,36-55,BGD,Bangladesh,Non-Saudi,1,1.0,4
8/31/2020,x1,by2 x1,by2,by2,proprietary,mobile phone,Y,N,N,Z,Z,Z,Z,Male,36-55,BGD,Bangladesh,Non-Saudi,64521,10753.166666666666,4
2/29/2020,m1,ck telecom m1,ck telecom,cect,proprietary,mobile phone,Y,N,N,Z,Z,N,Z,Male,>55,SAU,Saudi Arabia,Saudi,2,2.0,3
7/31/2019,,,ck telecom,ck telecom,proprietary,mobile phone,Y,N,N,Z,Z,N,Z,Female,>55,SAU,Saudi Arabia,Saudi,1,1.0,3
