epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77693,1.77907,3.42273,1.94848,0.01671,0.84597,0.13101,0.06227,1.40781,3.09289,1.61117,0.00024901,0.00024901,0.00024901
2,9.0078,1.58106,2.50743,1.79702,0.84911,0.20459,0.19223,0.08111,1.78165,2.5794,1.89555,0.00050034,0.00050034,0.00050034
3,13.2332,1.55035,2.21101,1.80601,0.77696,0.19459,0.18532,0.08439,1.73351,2.03051,1.93864,0.000746595,0.000746595,0.000746595
4,17.391,1.53718,2.07626,1.78574,0.69024,0.19713,0.17533,0.06544,2.0223,2.55748,2.23536,0.000746161,0.000746161,0.000746161
5,21.5608,1.56437,2.02099,1.80278,0.7275,0.21573,0.22,0.09999,1.69197,2.64462,1.86033,0.000738548,0.000738548,0.000738548
6,25.7683,1.50556,1.9458,1.75717,0.76787,0.25192,0.25647,0.11166,1.81846,2.4619,2.03844,0.000730935,0.000730935,0.000730935
7,29.9809,1.48999,1.87924,1.73537,0.72063,0.31088,0.27141,0.13533,1.60332,2.0239,1.82677,0.000723321,0.000723321,0.000723321
8,34.2153,1.5041,1.89796,1.7485,0.76973,0.28591,0.28524,0.13037,1.60279,1.83615,1.74025,0.000715708,0.000715708,0.000715708
9,38.3896,1.42268,1.78298,1.67378,0.86004,0.25816,0.31468,0.16571,1.50627,1.8871,1.68703,0.000708095,0.000708095,0.000708095
10,42.5766,1.39605,1.72218,1.65563,0.76164,0.30311,0.32184,0.14758,1.58663,1.60927,1.712,0.000700482,0.000700482,0.000700482
11,46.7857,1.37829,1.62193,1.63421,0.81674,0.34083,0.37755,0.18614,1.53222,1.54882,1.72837,0.000692869,0.000692869,0.000692869
12,51.0388,1.40137,1.61404,1.62439,0.77689,0.29813,0.29816,0.15747,1.47826,1.73297,1.75658,0.000685256,0.000685256,0.000685256
13,55.4106,1.36232,1.60384,1.61262,0.8052,0.27675,0.28197,0.15371,1.51812,1.6353,1.72549,0.000677643,0.000677643,0.000677643
14,59.8238,1.37347,1.56578,1.6298,0.88952,0.29469,0.3736,0.21288,1.42312,1.52651,1.65182,0.00067003,0.00067003,0.00067003
15,64.4531,1.40255,1.60685,1.65004,0.80653,0.35317,0.36073,0.18789,1.54937,1.54247,1.66289,0.000662417,0.000662417,0.000662417
16,69.3882,1.31296,1.47534,1.58826,0.93146,0.30232,0.47007,0.24209,1.57813,1.51355,1.69691,0.000654804,0.000654804,0.000654804
17,74.3219,1.31974,1.4847,1.5826,0.8388,0.33327,0.4031,0.20102,1.54856,1.64333,1.72179,0.00064719,0.00064719,0.00064719
18,79.1571,1.32655,1.46586,1.58759,0.71493,0.38084,0.42492,0.25867,1.3253,1.44156,1.56023,0.000639577,0.000639577,0.000639577
19,84.0003,1.30949,1.44154,1.55556,0.84181,0.35405,0.37515,0.22571,1.23709,1.40402,1.50141,0.000631964,0.000631964,0.000631964
20,88.8205,1.30716,1.40995,1.55521,0.82796,0.37366,0.3906,0.21726,1.39193,1.43058,1.58926,0.000624351,0.000624351,0.000624351
21,93.2991,1.31221,1.38479,1.58187,0.67967,0.32292,0.35914,0.1978,1.39757,1.45635,1.57304,0.000616738,0.000616738,0.000616738
22,98.0577,1.28806,1.37817,1.54422,0.69099,0.37133,0.36754,0.20859,1.36569,1.44765,1.55047,0.000609125,0.000609125,0.000609125
23,102.333,1.28351,1.35675,1.54218,0.71197,0.38029,0.41542,0.24757,1.28886,1.41178,1.55021,0.000601512,0.000601512,0.000601512
24,106.774,1.25506,1.35969,1.53814,0.7999,0.38272,0.38602,0.22503,1.42525,1.35589,1.61712,0.000593899,0.000593899,0.000593899
25,111.114,1.26877,1.34331,1.5359,0.70433,0.36116,0.38991,0.25817,1.23421,1.32548,1.48015,0.000586286,0.000586286,0.000586286
26,115.509,1.28362,1.34072,1.53895,0.72253,0.3796,0.42102,0.2771,1.22996,1.2764,1.49002,0.000578672,0.000578672,0.000578672
27,119.926,1.26132,1.31125,1.53327,0.72004,0.33548,0.4098,0.24814,1.2642,1.42202,1.54355,0.000571059,0.000571059,0.000571059
28,124.183,1.26784,1.30917,1.52552,0.73768,0.38017,0.41533,0.25614,1.2549,1.35937,1.52168,0.000563446,0.000563446,0.000563446
29,128.538,1.23307,1.30935,1.52656,0.77464,0.38187,0.45509,0.2547,1.36523,1.22987,1.58391,0.000555833,0.000555833,0.000555833
30,132.759,1.2133,1.24298,1.49069,0.85595,0.36942,0.41497,0.25799,1.31162,1.24411,1.57414,0.00054822,0.00054822,0.00054822
31,137.463,1.22044,1.20886,1.47276,0.89933,0.39499,0.43233,0.28072,1.25588,1.18621,1.48,0.000540607,0.000540607,0.000540607
